Date;Integrated;Max;SD
06/02/2010;38133750;2120;634,2316197
07/02/2010;43785000;1780;696,8076224
08/02/2010;43237500;1817,5;698,4900952
09/02/2010;40654500;1892,5;653,8865102
10/02/2010;42350250;1967,5;691,6397642
11/02/2010;44373750;2035;719,2108349
12/02/2010;40067250;1855;671,8054478
13/02/2010;44577000;1820;705,1578237
14/02/2010;39779250;1985;717,6756924
15/02/2010;39337500;1970;638,1690107
16/02/2010;44067000;1865;717,6443233
17/02/2010;46014000;1850;724,1740616
18/02/2010;35238750;2480;580,7443097
19/02/2010;29969250;1950;576,6826281
20/02/2010;34974750;1980;603,3143773
21/02/2010;47562000;2097,5;758,9231471
22/02/2010;43290000;2100;711,2575997
23/02/2010;31236000;1795;587,7191872
24/02/2010;43360500;1882,5;727,7693805
25/02/2010;31577250;1920;542,7701251
26/02/2010;38426250;2177,5;676,6933914
27/02/2010;42856500;1997,5;713,3963673
28/02/2010;48700500;2265;789,4828589
01/03/2010;48484500;2047,5;760,2872365
02/03/2010;45174000;1962,5;718,2670744
03/03/2010;40311750;2077,5;687,5195468
04/03/2010;42943500;2065;715,772539
05/03/2010;18537000;1720;375,5126477
06/03/2010;12254250;1317,5;264,2765934
07/03/2010;27175500;2165;551,3235744
08/03/2010;34025250;2337,5;578,3283831
09/03/2010;46279500;2047,5;727,2954157
10/03/2010;32702250;2217,5;561,3603965
11/03/2010;48539250;2077,5;777,0198267
12/03/2010;46369500;2090;774,0697841
13/03/2010;46154250;2237,5;736,0077847
14/03/2010;50018250;1970;773,0177237
15/03/2010;45772500;1947,5;761,2216979
16/03/2010;47480250;2252,5;770,1967853
17/03/2010;46583250;2110;754,7706474
18/03/2010;43971750;2025;682,4202915
19/03/2010;48937500;2160;765,4537312
20/03/2010;50962500;2260;769,514306
21/03/2010;45750750;2132,5;724,3074695
22/03/2010;51642000;2282,5;790,9422813
23/03/2010;51868500;2077,5;796,4176681
24/03/2010;51762750;2030;783,6309999
25/03/2010;52701000;2155;802,6247011
